V2f [V],Imeas [A],Hfield [uT]
0.0007854,0.002309516,0.8877779504
0.0007964,0.04208985,16.179338339999997
0.0008276,0.08235613,31.657696371999997
0.0010652,0.1222873,47.00723812
0.0010404,0.1624027,62.42759788
0.0010954,0.2022082,77.72883208
0.0010856,0.2420639,93.04936316
