V2f [V],Imeas [A],Hfield [uT]
0.0007752,0.002250868,0.8652336592
0.0007858,0.04219877,16.221207187999998
0.0008304,0.08235613,31.657696371999997
0.001022,0.122304,47.013657599999995
0.0009352,0.1624279,62.43728475999999
0.001001,0.2021579,77.70949676
0.0009322,0.2420053,93.02683732
