V2f [V],Imeas [A],Hfield [uT]
0.000772,0.00229276,0.881336944
0.0007816,0.04224904,16.240530976
0.0008508,0.0823645,31.660913799999996
0.0009722,0.122237,46.98790279999999
0.0009224,0.1625033,62.46626851999999
0.0010478,0.2021495,77.7062678
0.0009164,0.2420388,93.03971471999999
