V2f [V],Imeas [A],Hfield [uT]
0.0008978,0.00224249,0.8620131560000001
0.0009188,0.04214012,16.198662128
0.0009848,0.08233937,31.651253827999998
0.0011168,0.122371,47.039412399999996
0.0013554,0.1624362,62.440475279999994
0.0014024,0.2022166,77.73206103999999
0.0012874,0.2419969,93.02360835999998
